sno,day,month,year,date,seiz_location,seiz_lat,seiz_long,seiz_district,seiz_state,seiz_country,product,iwt_number,iwt_indian_tft_number,iwt_quantity (kg),transport_involved,in_transit_location_type,last_transit_location,last_transit_district,last_transit_state,last_transit_country,sour_location,sour_district,sour_state,sour_country,destination1_location,destination1_district,destination1_state,destination1_country,destination2_location,destination2_district,destination2_state,destination2_country,group1,group1_number,group2,group2_number,group3,group3_number,species1,species1_number,species2,species2_number,species3,species3_number,species4,species4_number,species5,species5_number,media_link.1,media_link.2,media_link.3
196,1,October,2018,"October 1, 2018",Nashik,20.1623,74.03,Nashik,Maharashtra,India,Live,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,2,NA,NA,NA,NA,Spotted black terrapin,2,NA,NA,NA,NA,NA,NA,NA,NA,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://timesofindia.indiatimes.com/city/mumbai/mumbai-8-baby-crocodiles-2-black-pond-turtles-rescued-from-nashik-smuggler/articleshow/66031937.cms,https://www.deccanchronicle.com/lifestyle/pets-and-environment/011018/8-baby-crocodiles-and-2-black-pond-turtles-rescued-from-nashik-smuggle.html
197,3,October,2018,"October 3, 2018","New Alipore, Kolkata",22.5726,88.3639,Kolkata,West Bengal,India,Live,10,10,NA,NA,NA,NA,NA,NA,NA,Chennai,Chennai,Tamil Nadu,India,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,10,NA,NA,NA,NA,Indian star tortoise,10,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kolkata/mca-student-arrested-for-smuggling-star-turtles/articleshow/66076578.cms,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_23.pdf,NA
198,6,October,2018,"October 6, 2018","Lodge, Mylapore",13.0827,80.2707,Chennai,Tamil Nadu,India,Live,584,582,NA,Road,NA,NA,NA,Andhra Pradesh,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,282,Non-native TFT,2,NA,NA,Indian star tortoise,282,Sulcata tortoise,2,NA,NA,NA,NA,NA,NA,http://www.dri.nic.in/main/newsupdates?ye=2018&mo=October,https://timesofindia.indiatimes.com/city/chennai/582-live-star-tortoises-and-two-sulcata-tortoises-rescued/articleshow/66100555.cms,http://www.newindianexpress.com/cities/chennai/2018/oct/07/inter-state-gang-smuggling-endangered-star-tortoises-busted-1882119.html
199,14,October,2018,"October 14, 2018",Chirag Enclave,28.6139,77.209,Delhi,Delhi,India,Live,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,1,NA,NA,NA,NA,Trionychidae,1,NA,NA,NA,NA,NA,NA,NA,NA,https://www.asianage.com/metros/delhi/141018/flagshell-turtle-recovered-from-chirag-enclave.html,NA,NA
200,15,October,2018,"October 15, 2018",Roorkee,29.8543,77.888,Haridwar,Uttarakhand,India,Live,2,2,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,2,NA,NA,NA,NA,Trionychidae,2,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://www.livehindustan.com/uttarakhand/story-former-pradhan-including-three-arrested-withe-rare-species-of-turtle-2226231.html,NA
201,17,October,2018,"October 17, 2018",Raichak,22.2187,88.1218,South 24 Parganas,West Bengal,India,Live,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,2,NA,NA,NA,NA,Trionychidae,2,NA,NA,NA,NA,NA,NA,NA,NA,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://timesofindia.indiatimes.com/city/kolkata/protected-animals-rescued-from-puja/articleshow/66329166.cms,NA
202,1,November,2018,"November 1, 2018",Neuria Colony village,28.6636,80.0577,Pilibhit,Uttar Pradesh,India,Live,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,1,NA,NA,NA,NA,Trionychidae,1,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/bareilly/ptr-team-nabs-poacher-seizes-turtle-from-him/articleshow/66466741.cms,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_23.pdf,NA
203,2,November,2018,"November 2, 2018","Hazari ki Pyau near Sai Temple, Meerut",28.9845,77.7064,Meerut,Uttar Pradesh,India,Live,17,12,NA,Rail,NA,Delhi,Delhi,NA,India,Chennai,Chennai,Tamil Nadu,India,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,12,Non-native TFT,5,NA,NA,Indian star tortoise,12,Red-eared slider,5,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/meerut/meerut-youth-held-with-dozen-threatened-species-of-tortoise/articleshow/66481660.cms,https://www.hindustantimes.com/noida/17-exotic-tortoises-recovered-from-man-in-meerut/story-EGwn6SwBoq7QSMqrDRMuYP.html,NA
204,2,November,2018,"November 2, 2018","Jagrati Vihar, Meerut",28.9845,77.7064,Meerut,Uttar Pradesh,India,Live,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,1,NA,NA,NA,NA,Unspecified,1,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/meerut/meerut-youth-held-with-dozen-threatened-species-of-tortoise/articleshow/66481660.cms,https://www.hindustantimes.com/noida/17-exotic-tortoises-recovered-from-man-in-meerut/story-EGwn6SwBoq7QSMqrDRMuYP.html,NA
205,2,November,2018,"November 2, 2018",NH-2 Akhri bypass (Truck),25.3176,82.9739,Varanasi,Uttar Pradesh,India,Calipee,547,547,36,Road,In-transit (Road),Shikohabad,Firozabad,Uttar Pradesh,India,NA,NA,NA,NA,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,Bangladesh,Softshell Turtle,NA,NA,NA,NA,NA,Trionychidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abpnews.abplive.in/uttar-pradesh/36-kg-tortoise-skin-recovered-from-varanasi-1002524,https://www.amarujala.com/uttar-pradesh/varanasi/dri-team-recovered-turtle-skin-and-smuggler-arrested-in-varanasi,NA
206,7,November,2018,"November  7, 2018",Kasimedu fishing harbour,13.0827,80.2707,Chennai,Tamil Nadu,India,Live,490,490,NA,Air,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kuala Lumpur,NA,NA,Malaysia,NA,NA,NA,NA,Tortoise/Hardshell Turtle,490,NA,NA,NA,NA,Indian star tortoise,490,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/chennai/star-tortoises-tagged-as-mud-crabs-found-abandoned-at-kasimedu/articleshow/66550410.cms,https://www.youtube.com/watch?v=u0z-D9_FYis,NA
207,10,November,2018,"November  10, 2018",Vashi highway,19.076,72.8777,Mumbai,Maharashtra,India,Live,293,293,NA,Road,In-transit (Road),Pune,Pune,Maharashtra,India,Anantapur,Anantapur,Andhra Pradesh,India,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,293,NA,NA,NA,NA,Indian star tortoise,293,NA,NA,NA,NA,NA,NA,NA,NA,https://mumbaimirror.indiatimes.com/mumbai/crime/duo-held-in-navi-mumbai-with-293-star-tortoises/articleshow/66598370.cms,https://www.maharashtratoday.co.in/293-star-tortoises-seized-2-held-from-navi-mumbai/,https://www.youtube.com/watch?v=TtSc7bW-oMs
208,13,November,2018,"November 13, 2018",Jaipur,27.0216,75.8999,Jaipur,Rajasthan,India,Shell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://timesofindia.indiatimes.com/city/jaipur/former-bjp-councillor-son-held-for-running-illegal-wildlife-trade/articleshow/66614489.cms,NA
209,14,November,2018,"November  14, 2018",Jaipur,27.0216,75.8999,Jaipur,Rajasthan,India,Live,38,38,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,38,NA,NA,NA,NA,Trionychidae,38,NA,NA,NA,NA,NA,NA,NA,NA,https://www.dnaindia.com/jaipur/report-rajasthan-grp-recovers-38-tortoise-being-smuggled-in-delhi-bound-train-2685852,https://www.youtube.com/watch?v=giFF8p_331Q,NA
210,16,November,2018,"November 16, 2018","Banthra area, Lucknow",26.8467,80.9462,Lucknow,Uttar Pradesh,India,Live,1583,1583,NA,Road,In-transit (Road),NA,NA,NA,NA,"Etawah, Etah, Mainpuri",NA,NA,NA,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,1583,NA,NA,NA,NA,Trionychidae,1583,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/lucknow/crackdown-on-smugglers-dehydration-injuries-kill-146-of-1-583-rescued-turtles-in-up/story-D6aEi7ptckbSR81uXjBVAK.html,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://navbharattimes-indiatimes-com.translate.goog/metro/lucknow/other-news/1583-turtles-being-smuggled/articleshow/66665854.cms?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en
211,28,November,2018,"November 28, 2018","pond, Bharthana town",26.7525,79.2197,Etawah,Uttar Pradesh,India,Live,654,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,654,NA,NA,NA,NA,Trionychidae,654,NA,NA,NA,NA,NA,NA,NA,NA,https://www.outlookindia.com/website/story/654-indian-flapshell-turtles-including-482-dead-recovered-from-pond-in-ups-etawah-district/320917,https://www.youtube.com/watch?v=pb4D4ZujWkM,NA
212,22,December,2018,"December 22, 2018",Fatehpur,25.921,80.7996,Fatehpur,Uttar Pradesh,India,Live,747,747,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,747,NA,NA,NA,NA,Trionychidae,747,NA,NA,NA,NA,NA,NA,NA,NA,https://www.timesnownews.com/mirror-now/society/article/uttar-pradesh-special-task-force-indian-turtle-turtles-rescued-traffickers-fatehpur/335301,https://www.jagran.com/uttar-pradesh/fatehpur-two-smugglers-arrested-with-747-turtles-near-khaga-toll-18778432.html,NA
213,22,December,2018,"December 22, 2018","(Jamoothavi-Kolkata Sealdah Express) Cantt Railway Station, Varanasi",25.3176,82.9739,Varanasi,Uttar Pradesh,India,Live,233,233,NA,Rail,In-transit (Train station),NA,NA,NA,NA,Purvanchal,NA,Uttar Pradesh,India,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,233,NA,NA,NA,NA,Trionychidae,233,NA,NA,NA,NA,NA,NA,NA,NA,https://www.livehindustan.com/uttar-pradesh/varanasi/story-sealdah-express-recovered-233-turtles-five-smugglers-arrested-2324153.html,NA,NA
214,4,January,2019,"January 4, 2019",Swarupnagar,22.8112,88.8564,North 24 Parganas,West Bengal,India,Live,83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,83,NA,NA,NA,NA,Trionychidae,83,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/kolkata/689-endangered-turtles-smuggled-from-up-seized-in-bengal/story-BAUXJjwAAG9yByVHRPwCGP.html,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,NA
215,11,January,2019,"January 11, 2019","Chaupula village, Chaubia PS",26.8458,79.1097,Etawah,Uttar Pradesh,India,Live,327,327,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,Rudrapur,Udham Singh Nagar,Uttarakhand,India,NA,NA,NA,NA,Softshell Turtle,322,Tortoise/Hardshell Turtle,5,NA,NA,Trionychidae,322,Spotted black terrapin,5,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/kolkata/689-endangered-turtles-smuggled-from-up-seized-in-bengal/story-BAUXJjwAAG9yByVHRPwCGP.html,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,https://www.amarujala.com/uttar-pradesh/etawah/crime/327-turtles-recovered-four-smugglers-arrested
216,15,January,2019,"January 15, 2019",Durgapur railway station,23.4946,87.3178,Paschim Bardhaman,West Bengal,India,Live,689,689,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Bandel,Hooghly,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,689,NA,NA,NA,NA,Trionychidae,689,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/kolkata/689-endangered-turtles-smuggled-from-up-seized-in-bengal/story-BAUXJjwAAG9yByVHRPwCGP.html,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_23.pdf,NA
217,21,January,2019,"January 21, 2019",East Burdwan,23.4595,87.6186,Purba Bardhaman,West Bengal,India,Live,501,501,NA,Road,In-transit (Road),NA,NA,Uttar Pradesh,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,501,NA,NA,NA,NA,Trionychidae,501,NA,NA,NA,NA,NA,NA,NA,NA,https://www.timesnownews.com/mirror-now/in-focus/article/west-bengal-indian-flapshell-turtles-smuggling-trafficked-wildlife-protection-act/353421,https://www.hindustantimes.com/kolkata/1-700-endangered-turtles-seized-in-bengal-in-back-to-back-raids/story-lqM3kXIz5OZBdNVlLK8oEI.html,http://wccb.gov.in/Content/SeizuresofWCCB.aspx
218,22,January,2019,"January 22, 2019",Chandpara,22.6168,88.4029,North 24 Parganas,West Bengal,India,Live,1231,1231,NA,Road,In-transit (Road),NA,NA,Andhra Pradesh,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,1231,NA,NA,NA,NA,Trionychidae,1231,NA,NA,NA,NA,NA,NA,NA,NA,https://www.timesnownews.com/mirror-now/in-focus/article/west-bengal-indian-flapshell-turtles-smuggling-trafficked-wildlife-protection-act/353421,http://wccb.gov.in/Content/SeizuresofWCCB.aspx,NA
219,23,January,2019,"January 23, 2019",Pratapgarh Junction Railway Station,25.8973,81.9453,Pratapgarh,Uttar Pradesh,India,Live,289,289,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Howrah,Howrah,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,289,NA,NA,NA,NA,Trionychidae,289,NA,NA,NA,NA,NA,NA,NA,NA,https://www.jagran.com/uttar-pradesh/pratapgarh-289-turtles-recovered-from-punjab-mail-18883261.html,https://www.livehindustan.com/uttar-pradesh/pratapgarh-kunda/story-289-turtles-recovered-from-punjab-mail-2376020.html,NA
220,13,March,2019,"March 13, 2019",Kalipat,22.2364,70.8826,Rajkot,Gujarat,India,Live,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,25,NA,NA,NA,NA,Indian star tortoise,25,NA,NA,NA,NA,NA,NA,NA,NA,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_24.pdf,https://timesofindia.indiatimes.com/city/rajkot/turtles-dead-birds-found-in-animal-rescuers-farm/articleshow/68433519.cms,NA
221,16,March,2019,"March 16, 2019",Rupsa railway station,21.6224,87.0189,Balasore,Odisha,India,Live,45,45,NA,Rail,In-transit (Train station),Sakhigopal area,Puri,Odisha,India,NA,NA,NA,NA,Dantan,Paschim Medinipur,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,45,NA,NA,NA,NA,Trionychidae,45,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ommcomnews.com/odisha-news/45-turtles-rescued-from-traffickers-in-odisha-s-balasore-3-held,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_24.pdf,https://www.youtube.com/watch?v=BOraViLbDl8
222,18,March,2019,"March 18, 2019",Kattapanna,9.7557,77.1154,Idukki,Kerala,India,Live,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,1,NA,NA,NA,NA,Indian star tortoise,1,NA,NA,NA,NA,NA,NA,NA,NA,http://robindestl.cluster028.hosting.ovh.net/wp-content/uploads/ON_THE_TRAIL_24.pdf,https://timesofindia.indiatimes.com/city/kochi/five-men-arrested-with-star-tortoise/articleshow/68472403.cms,NA
223,7,April,2019,"April 7, 2019",Chennai International Airport,12.9941,80.1709,Chennai,Tamil Nadu,India,Live,65,65,NA,Air,In-transit (Airport),NA,NA,NA,NA,NA,NA,NA,NA,Bangkok,NA,NA,Thailand,NA,NA,NA,NA,Tortoise/Hardshell Turtle,65,NA,NA,NA,NA,Indian star tortoise,65,NA,NA,NA,NA,NA,NA,NA,NA,https://wap.business-standard.com/article/pti-stories/65-star-tortoises-4-gold-idols-seized-at-city-airport-119040700636_1.html,https://timesofindia.indiatimes.com/city/chennai/65-star-tortoises-four-golden-lord-ganesha-idols-seized-at-chennai-airport/articleshow/68763527.cms,https://www.newindianexpress.com/cities/chennai/2019/apr/08/65-star-tortoises-4-gold-idols-seized-at-city-airport-1961543.html
224,16,April,2019,"April 16, 2019","Chandigarh Colony, Tanda town",31.6479,75.8069,Hoshiarpur,Punjab,India,Live,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,11,NA,NA,NA,NA,Trionychidae,11,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/chandigarh/rare-turtle-seizure-adds-twist-to-poll-liquor-raid/articleshow/68897176.cms,https://m.dailyhunt.in/news/india/english/deccan+herald-epaper-deccan/raid+yields+turtles+baffles+punjab+authorities-newsid-113941922,https://www.deccanherald.com/lok-sabha-election-2019/raid-yields-turtles-baffles-punjab-authorities-729069.html
225,10,June,2019,"June 10, 2019","Santragachhi Station, Howrah, West Bengal",22.5958,88.2636,Howrah,West Bengal,India,Live,834,834,NA,Rail,In-transit (Train station),Chennai,Chennai,Tamil Nadu,India,NA,NA,NA,NA,Banipur,North 24 Parganas,West Bengal,India,NA,NA,NA,Bangladesh,Tortoise/Hardshell Turtle,834,NA,NA,NA,NA,Indian star tortoise,834,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kolkata/dri-seizes-834-tortoises-meant-for-smuggling-to-bangladesh/articleshow/69789603.cms,https://www.telegraphindia.com/states/west-bengal/tortoises-rescued-at-santragachhi-station/cid/1692459,https://www.ndtv.com/india-news/834-star-tortoises-meant-for-smuggling-to-bangladesh-seized-in-kolkata-2053351
226,22,June,2019,"June 22, 2019",Crawford Market,18.9474,72.8339,Mumbai,Maharashtra,India,Live,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,20,NA,NA,NA,NA,Indian roofed turtle,NA,Indian tent turtle,NA,NA,NA,NA,NA,NA,NA,https://www.asianage.com/metros/mumbai/230619/20-roofed-turtles-parrot-seized.html,https://www.dnaindia.com/india/report-mumbai-twenty-roofed-turtles-and-one-parrot-seized-from-crawford-market-one-held-for-illegal-wildlife-trade-2764061,https://www.facebook.com/wwaindia/photos/pcb.2287299348149908/2287299138149929
227,25,July,2019,"July 25, 2019",Shahganj Railway Station,24.7018,82.9542,Jaunpur,Uttar Pradesh,India,Live,50,50,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,50,NA,NA,NA,NA,Trionychidae,50,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nayasabera.com/2019/07/jaunpur-news-50-nayasabera_26.html,https://www.jagran.com/uttar-pradesh/jaunpur-smuggler-arrested-50-turtles-recovered-19434314.html,NA
228,29,July,2019,"July 29, 2019",Vijayawada railway station,16.5187,80.62,Krishna,Andhra Pradesh,India,Live,500,500,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Ahmedabad,Ahmedabad,Gujarat,India,NA,NA,NA,NA,Tortoise/Hardshell Turtle,500,NA,NA,NA,NA,Indian star tortoise,500,NA,NA,NA,NA,NA,NA,NA,NA,https://www.thehindu.com/news/national/andhra-pradesh/dri-seizes-500-star-tortoises-being-smuggled-to-us-china/article28763580.ece,https://www.business-standard.com/article/pti-stories/500-indian-star-tortoises-seized-from-train-passenger-in-ap-119073001245_1.html,https://www.thenewsminute.com/article/500-indian-star-tortoises-being-smuggled-train-rescued-vijayawada-station-106400
229,5,August,2019,"August 5, 2019",Etawah Railway Station,26.7867,79.0214,Etawah,Uttar Pradesh,India,Calipee,NA,NA,7,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Sayana town,Bulandshahr,Uttar Pradesh,India,NA,NA,West Bengal,India,Softshell Turtle,NA,NA,NA,NA,NA,Trionychidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kanpur/stf-arrests-two-with-7kg-turtle-calipee/articleshow/70527944.cms,NA,NA
230,17,September,2019,"September 17, 2019",Lucknow,26.7863,80.8987,Lucknow,Uttar Pradesh,India,Calipee,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,NA,NA,NA,NA,NA,Trionychidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.uniindia.com/up-stf-arrests-wild-animal-smuggler-with-32-kg-tortoise-calipee/north/news/1731770.html,NA,NA
231,11,October,2019,"October 11, 2019","Thakurnagar Bazar, Bongaon",23.0467,88.8291,North 24 Parganas,West Bengal,India,Live,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,90,NA,NA,NA,NA,Trionychidae,90,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/india-news/in-bengal-90-indian-softshell-turtles-seized-one-arrested/story-0qhhlwYrHX8vjHrdM6ZsKJ.html,https://timesofindia.indiatimes.com/city/kolkata/90-freshwater-turtles-seized-1-in-police-net/articleshow/71547578.cms,https://www.facebook.com/WCPVER/posts/11th-october-2019a-joint-operation-by-eastern-region-wccb-govt-of-india-and-wccc/483345575725864/
232,16,October,2019,"October 16, 2019",Jaunpur Railway Station,25.7614,82.6993,Jaunpur,Uttar Pradesh,India,Live,32,32,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,32,NA,NA,NA,NA,Trionychidae,32,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amarujala.com/uttar-pradesh/jaunpur/woman-arrested-with-32-accused-jaunpur-news-vns4894793181,https://www.youtube.com/watch?v=4KgWpjZPLiw,NA
233,29,October,2019,"October 29, 2019","Bhalokhara village, Fatehabad",27.0222,78.3074,Agra,Uttar Pradesh,India,Live,80,80,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,Delhi,Delhi,NA,India,NA,NA,NA,NA,Softshell Turtle,NA,Tortoise/Hardshell Turtle,NA,NA,NA,Trionychidae,NA,Batagur sp.,NA,NA,NA,NA,NA,NA,NA,https://www.bhaskarlive.in/80-endangered-turtles-rescued-in-agra-3-held/,https://www.inextlive.com/three-tortoise-smuggler-arrested-with-80-tortoise-in-agra-224931,https://www.amarujala.com/uttar-pradesh/agra/turtle-smugglers-arrested-in-agra
234,1,November,2019,"November 1, 2019",Pratapgarh Junction Railway Station,25.8973,81.9453,Pratapgarh,Uttar Pradesh,India,Live,600,600,NA,Rail,In-transit (Train station),NA,Amethi/Pratapgarh,Uttar Pradesh,India,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,600,NA,NA,NA,NA,Trionychidae,600,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amarujala.com/uttar-pradesh/pratapgarh/tortoise-smuggler-caught-by-malda-town-express-pratapgarh-news-ald258937826,https://www.patrika.com/pratapgarh-up-news/seven-smugglers-arrested-with-1000-turtle-in-malda-town-express-5298389/,https://www.divyabhaskar.co.in/amp/gujarati-videos/news/pratapgarh-grp-arrested-seven-accused-with-many-species-of-turtles-at-pratapgarh-station-385778.html
235,3,November,2019,"November 3, 2019",Pratapgarh Junction Railway Station,25.8973,81.9453,Pratapgarh,Uttar Pradesh,India,Live,25,25,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,25,NA,NA,NA,NA,Trionychidae,25,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amarujala.com/uttar-pradesh/pratapgarh/25-tortoises-recovered-from-malda-town-express-pratapgarh-news-ald2591839105,https://twitter.com/drmlko25/status/1190885954749267969,NA
236,18,November,2019,"November 18, 2019",Hyderabad,17.4027,78.4525,Hyderabad,Telangana,India,Live,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,1,Softshell Turtle,1,NA,NA,Indian star tortoise,1,Trionychidae,1,NA,NA,NA,NA,NA,NA,https://www.deccanchronicle.com/nation/current-affairs/181119/4-slow-lorises-seized-in-hyderabad.html,https://www.aninews.in/news/national/general-news/four-primates-among-others-seized-from-animal-smuggler-in-hyderabad20191118070431/,https://www.facebook.com/hyderabadpolice/photos/a.327396210766457/1278813915624677/?type=3&theater
237,19,November,2019,"November 19, 2019","GT Road, Barwadda, Dhanbad",23.7957,86.4304,Dhanbad,Jharkhand,India,Live,29,29,NA,Road,In-transit (Road),Amethi,Amethi,Uttar Pradesh,India,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,29,NA,NA,NA,NA,Trionychidae,29,NA,NA,NA,NA,NA,NA,NA,NA,https://www.livehindustan.com/jharkhand/dhanbad/story-29-caught-with-tortoise-smugglers-fleeing-hajat-2860713.html,https://newswing.com/tortoise-rare-species-being-transported-up-to-bengal-two-smugglers-arrested/144934/,"http://cityliveindia.com/City/Dhanbad/Article?CL=Two-tortoise-smugglers,-29-turtles-recovered-in-the-grip-of-baravadat-police-966079"
238,3,December,2019,"December 3, 2019","Aami bridge, Unwal Nagar Panchayat",26.6301,83.2961,Gorakhpur,Uttar Pradesh,India,Live,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,21,NA,NA,NA,NA,Trionychidae,21,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amarujala.com/uttar-pradesh/gorakhpur/turtles-traffickers-busted-in-gorakhpur-police-arrest-two-women-with-21-turtles,NA,NA
